ID_Produto,Quantidade,Preco_Unitario,Data_Venda
5080,1,38.3,2021-09-10 03:37:59
7535,2,16.96,2021-12-19 23:47:09
1402,2,31.66,2021-06-14 13:19:09
7949,5,21.73,2020-06-23 01:28:04
9053,2,89.96,2024-04-09 00:48:47
2200,3,94.5,2023-09-15 20:57:10
2772,5,88.84,2020-01-17 17:34:04
3944,7,79.69,2022-04-25 08:37:22
7964,2,82.18,2020-04-05 21:04:51
2160,7,85.6,2020-10-04 10:46:16
6821,3,84.67,2021-04-14 22:12:20
2249,6,67.73,2021-03-07 11:42:11
9665,3,24.24,2021-12-16 11:36:30
2619,7,75.59,2024-01-03 02:07:07
1138,3,44.71,2022-01-12 03:55:34
9931,2,67.83,2022-08-30 00:14:57
2181,1,85.62,2023-09-16 14:06:26
2826,6,35.94,2020-01-01 20:59:29
8352,9,79.48,2021-08-28 08:19:36
586,1,68.19,2024-09-29 14:20:15
6460,1,13.91,2020-05-01 21:05:51
5944,9,38.03,2021-10-26 13:48:15
4917,9,52.48,2020-08-21 18:13:30
4092,1,64.62,2022-06-20 10:07:16
6445,4,39.29,2021-02-04 12:23:29
9288,3,41.13,2023-09-19 21:09:21
6018,9,60.84,2020-12-26 01:18:56
8133,7,15.95,2021-10-02 19:12:45
483,4,59.85,2021-08-20 11:28:02
7463,8,48.21,2023-10-09 00:17:06
489,3,63.32,2020-01-12 21:40:38
9524,7,17.0,2021-03-09 15:33:06
9069,5,66.85,2023-10-05 23:28:04
4397,7,80.51,2021-11-22 09:13:45
1675,8,42.5,2024-02-25 01:28:32
9013,5,41.56,2023-10-23 09:04:37
4675,8,96.36,2021-12-15 00:50:12
8348,1,97.07,2021-01-23 11:40:44
8465,4,89.94,2024-06-21 09:51:31
4438,6,70.09,2022-05-05 23:52:50
1563,1,83.83,2020-02-24 09:51:04
1150,7,25.06,2022-01-26 03:19:37
4934,8,78.04,2024-01-12 04:44:11
4087,1,22.91,2021-03-30 16:13:42
2434,4,17.58,2023-05-30 03:05:46
9818,1,44.13,2020-01-30 13:23:07
7160,7,64.85,2020-02-08 05:19:17
9316,1,47.55,2020-08-23 17:25:11
4120,8,38.45,2023-12-13 11:42:26
677,5,11.12,2022-10-20 23:32:51
4559,3,27.42,2023-06-15 12:17:14
7086,6,65.85,2020-11-25 10:41:14
6514,7,72.82,2024-05-30 07:37:50
863,2,94.01,2022-01-20 08:06:26
5656,8,35.62,2022-09-18 01:10:06
9185,7,50.14,2023-03-09 10:18:50
9397,2,52.28,2020-11-24 03:29:03
8923,5,71.88,2021-06-29 04:53:19
1274,3,28.8,2022-09-26 06:11:57
6348,4,38.02,2020-04-15 07:48:58
3338,2,78.02,2020-10-21 10:58:50
1766,9,21.16,2024-09-06 01:48:30
1414,9,67.1,2020-11-06 22:47:25
8922,1,14.28,2020-01-13 21:50:32
5469,5,28.5,2023-09-12 08:46:35
6407,2,36.89,2021-02-08 23:07:58
1583,9,37.48,2023-04-11 07:21:40
489,1,18.79,2021-06-14 03:15:46
8335,7,42.41,2020-07-27 10:57:46
6425,7,72.69,2023-07-05 00:12:35
5978,4,27.27,2020-05-14 00:17:30
5317,6,78.82,2024-10-14 17:21:10
9270,5,11.14,2022-08-25 23:27:07
6966,3,25.56,2024-07-15 12:42:45
6712,3,10.72,2022-06-05 09:24:39
3044,9,47.35,2024-04-11 19:57:42
522,2,12.46,2023-08-17 20:59:00
4085,8,95.16,2024-04-21 13:41:39
4847,6,86.9,2024-10-11 20:37:53
2930,3,68.83,2020-08-19 01:53:06
1442,6,74.34,2020-12-10 06:49:11
9052,1,93.19,2021-03-29 09:45:10
6808,3,18.24,2023-12-06 03:48:47
3384,5,56.16,2023-04-28 15:51:06
3464,7,47.55,2020-12-27 13:04:25
968,5,47.56,2022-10-19 10:46:02
4682,3,30.33,2023-06-03 03:37:34
2140,1,98.72,2024-03-29 22:36:08
9890,6,90.05,2021-01-11 15:56:06
3921,8,85.46,2022-12-28 16:25:57
1572,6,21.24,2023-11-16 14:42:57
5596,1,74.06,2020-10-15 09:49:49
3318,6,57.82,2021-03-10 01:34:28
9399,4,35.06,2022-11-17 01:41:38
4969,7,72.74,2023-04-08 00:35:53
3495,3,80.54,2022-02-19 20:49:17
9261,4,87.98,2023-06-18 06:07:57
3418,8,14.23,2022-09-21 08:42:51
9738,8,89.4,2024-04-29 17:15:11
2541,4,63.31,2023-12-22 08:46:35
662,7,60.14,2020-08-09 13:38:20
1785,7,13.9,2021-09-25 05:00:33
340,8,32.87,2023-10-22 03:37:31
5020,9,78.39,2022-12-31 07:38:02
968,9,70.2,2024-11-21 20:03:10
4017,2,58.36,2020-12-16 16:34:16
4840,6,50.12,2023-07-20 23:25:57
7878,9,48.66,2020-10-09 12:27:59
8059,6,16.06,2022-01-29 00:06:40
2495,2,98.89,2021-11-06 22:19:38
1411,5,41.27,2024-12-11 01:28:20
7874,9,24.53,2024-12-01 15:41:37
3546,5,76.48,2023-09-29 23:02:58
4070,7,95.68,2021-09-19 08:48:23
3910,9,34.99,2022-12-21 12:15:03
3471,1,17.92,2022-06-03 07:26:42
6182,8,63.32,2023-03-17 14:23:08
2257,2,94.82,2024-06-22 20:25:14
7517,2,57.03,2023-06-18 02:16:54
8087,9,38.86,2021-03-23 23:40:29
1710,8,97.55,2022-01-09 19:26:50
8151,2,47.01,2021-10-15 16:51:28
3736,5,75.11,2021-09-02 14:28:04
4924,2,73.8,2023-08-05 10:01:08
748,2,59.51,2022-05-24 22:21:20
9002,5,43.18,2021-12-16 07:11:43
1927,1,84.05,2020-02-22 10:02:47
1740,1,29.97,2023-01-04 03:20:14
6445,4,33.68,2021-05-14 21:12:25
5650,5,94.28,2024-08-27 06:44:03
5754,2,68.28,2024-07-04 01:02:41
4910,2,49.32,2020-01-25 16:04:37
8060,5,57.11,2023-11-09 06:45:18
5043,6,15.57,2022-01-29 14:44:42
9685,7,18.81,2020-05-12 06:26:49
6564,9,95.83,2020-07-19 18:09:41
55,3,61.78,2020-12-15 18:20:41
938,6,30.55,2024-05-18 03:58:59
9452,4,37.38,2022-02-24 02:38:54
2495,2,46.48,2021-01-14 21:53:52
921,6,11.17,2023-07-12 18:07:10
4611,1,59.32,2023-02-17 23:22:18
9288,4,57.45,2021-06-01 09:35:42
7116,7,58.73,2021-11-14 18:38:01
6938,8,73.8,2021-06-27 11:53:02
8649,3,61.28,2022-01-31 13:16:36
1309,3,88.04,2022-10-02 09:05:11
2516,7,86.83,2024-09-21 16:59:51
6414,9,87.9,2020-10-17 04:19:08
3538,9,90.84,2022-10-08 22:52:15
3251,6,82.27,2020-04-04 21:17:47
6979,6,86.32,2022-03-14 01:00:17
63,8,22.95,2022-03-16 08:08:46
9079,8,44.64,2022-02-03 23:15:00
4707,3,24.25,2024-03-20 18:42:10
3274,3,12.71,2023-01-11 06:22:31
8837,8,96.46,2022-04-20 09:36:32
3172,3,34.27,2021-04-15 16:08:55
9846,6,55.81,2022-06-22 05:20:39
8280,3,66.43,2024-04-10 20:50:09
7483,3,12.08,2021-01-05 02:42:27
7534,9,70.86,2022-02-09 06:13:13
7257,9,61.01,2020-10-02 13:58:08
2452,2,38.78,2021-08-20 13:06:30
3323,8,73.55,2022-12-01 17:09:56
6525,8,97.06,2024-09-29 02:51:48
3251,4,24.28,2023-04-08 16:08:53
1333,5,69.34,2024-05-21 19:44:39
8663,7,36.2,2022-12-16 14:29:57
